time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656291610,4.08E+03,46.84597778,9.454673209,214.7722065,304.7559126,0,EZY6062 ,False,False,False,7530,10972.8,11445.24,1656291610,1656291610
1656291620,4.08E+03,46.85687566,9.431762695,214.7722065,304.7559126,0,EZY6062 ,False,False,False,7530,10972.8,11445.24,1656291620,1656291620
1656291630,4.08E+03,46.86767578,9.409156212,214.7722065,304.7559126,-0.65024,EZY6062 ,False,False,False,7530,10965.18,11437.62,1656291630,1656291630
1656291640,4.08E+03,46.87875366,9.385757446,214.0563095,304.7212802,-0.32512,EZY6062 ,False,False,False,7530,10965.18,11430,1656291640,1656291640
1656291650,4.08E+03,46.88950878,9.363238995,213.6336722,304.799867,-0.65024,EZY6062 ,False,False,False,7530,10957.56,11422.38,1656291650,1656291650
1656291660,4.08E+03,46.90077442,9.339576134,213.9276885,304.9130072,0.97536,EZY6062 ,False,False,False,7530,10957.56,11422.38,1656291660,1656291660
1656291670,4.08E+03,46.91171265,9.316543579,215.1950674,304.6778279,0.32512,EZY6062 ,False,False,False,7530,10965.18,11430,1656291670,1656291670
1656291680,4.08E+03,46.92242121,9.293799767,216.4660295,304.4454065,0.32512,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291680,1656291680
1656291690,4.08E+03,46.93359375,9.270066481,218.320724,304.4389893,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291690,1656291690
1656291700,4.08E+03,46.94458008,9.246685322,220.0431604,304.6189061,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291700,1656291700
1656291710,4.08E+03,46.95579529,9.223091125,219.1972175,304.7716953,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291710,1656291710
1656291720,4.08E+03,46.96715791,9.199148325,218.904234,304.6610895,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291720,1656291720
1656291730,4.08E+03,46.97840881,9.175437927,218.904234,304.6610895,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291730,1656291730
1656291740,4.08E+03,46.9896892,9.151540903,219.327575,304.5846589,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291740,1656291740
1656291750,4.08E+03,47.00083923,9.127922058,219.7513047,304.508523,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291750,1656291750
1656291760,4.08E+03,47.01189461,9.104356032,221.6059713,304.5016727,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291760,1656291760
1656291770,4.08E+03,47.02313232,9.080474854,222.3213658,304.535836,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291770,1656291770
1656291780,4.08E+03,47.03457642,9.056098938,222.7453411,304.4608163,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291780,1656291780
1656291790,4.08E+03,47.04606628,9.031654358,221.897773,304.6111422,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291790,1656291790
1656291800,4.08E+03,47.05728149,9.007965088,221.474565,304.6867363,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291800,1656291800
1656291810,4.08E+03,47.0687349,8.983576848,221.897773,304.6111422,0,EZY6062 ,False,False,False,7530,10972.8,11437.62,1656291810,1656291810
1656291820,4.08E+03,47.08007813,8.959487915,222.0301208,304.4264766,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291820,1656291820
1656291830,4.08E+03,47.09074402,8.93662262,221.7396868,304.3168303,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291830,1656291830
1656291840,4.08E+03,47.10255432,8.9112854,221.7396868,304.3168303,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291840,1656291840
1656291850,4.08E+03,47.11328539,8.888291579,221.7396868,304.3168303,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291850,1656291850
1656291860,4.08E+03,47.12459758,8.863924467,222.1647722,304.2420329,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291860,1656291860
1656291870,4.08E+03,47.13601685,8.839393616,222.4546512,304.3515673,0,EZY6062 ,False,False,False,7530,10965.18,11422.38,1656291870,1656291870
1656291880,4.08E+03,47.14712886,8.815612793,222.7453411,304.4608163,0,EZY6062 ,False,False,False,7530,10965.18,11422.38,1656291880,1656291880
1656291890,4.08E+03,47.15826416,8.791809082,222.7453411,304.4608163,0,EZY6062 ,False,False,False,7530,10965.18,11422.38,1656291889,1656291890
1656291900,4.08E+03,47.16966248,8.767295837,223.1696969,304.3860818,0,EZY6062 ,False,False,False,7530,10965.18,11422.38,1656291900,1656291900
1656291910,4.08E+03,47.18096924,8.743057251,223.594431,304.311631,0,EZY6062 ,False,False,False,7530,10965.18,11422.38,1656291910,1656291910
1656291920,4.08E+03,47.192276,8.718681335,223.594431,304.311631,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291920,1656291920
1656291930,4.08E+03,47.20376587,8.693824768,224.0195411,304.2374628,0,EZY6062 ,False,False,False,7530,10972.8,11430,1656291930,1656291930
1656291940,4.08E+03,47.21520996,8.669174194,224.0195411,304.2374628,0,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656291940,1656291940
1656291950,4.08E+03,47.22636077,8.645113431,224.4450252,304.1635756,0,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656291950,1656291950
1656291960,4.08E+03,47.23773193,8.620491028,224.4450252,304.1635756,0.32512,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656291960,1656291960
1656291970,4.08E+03,47.24926758,8.595565796,224.7343182,304.2720999,0.32512,EZY6062 ,False,False,False,7530,10972.8,11430,1656291970,1656291970
1656291980,4.08E+03,47.26029968,8.571807861,224.7343182,304.2720999,0,EZY6062 ,False,False,False,7530,10980.42,11430,1656291980,1656291980
1656291990,4.08E+03,47.27146989,8.547644982,225.159627,304.1983818,0,EZY6062 ,False,False,False,7530,10980.42,11430,1656291990,1656291990
1656292000,4.08E+03,47.28291321,8.522918701,224.7343182,304.2720999,0.32512,EZY6062 ,False,False,False,7530,10980.42,11430,1656292000,1656292000
1656292010,4.08E+03,47.29463196,8.497718811,224.7343182,304.2720999,0,EZY6062 ,False,False,False,7530,10980.42,11430,1656292010,1656292010
1656292020,4.08E+03,47.30591855,8.473275992,225.159627,304.1983818,-0.32512,EZY6062 ,False,False,False,7530,10980.42,11430,1656292020,1656292020
1656292030,4.08E+03,47.31699798,8.44919058,224.5829425,303.9812761,0,EZY6062 ,False,False,False,7530,10980.42,11430,1656292030,1656292030
1656292040,4.08E+03,47.32841492,8.424247742,224.2958141,303.8723054,0,EZY6062 ,False,False,False,7530,10980.42,11430,1656292040,1656292040
1656292050,4.08E+03,47.33976202,8.399540828,225.0097136,303.9080593,-0.32512,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656292050,1656292050
1656292060,4.08E+03,47.35079491,8.375384991,225.0097136,303.9080593,-0.32512,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656292060,1656292060
1656292070,4.08E+03,47.36215365,8.350524902,224.5829425,303.9812761,0,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656292070,1656292070
1656292080,4.08E+03,47.37332619,8.326087365,224.8708812,304.0899681,0,EZY6062 ,False,False,False,7530,10972.8,11422.38,1656292080,1656292080
1656292090,4.08E+03,47.38463838,8.301438552,225.0097136,303.9080593,0,EZY6062 ,False,False,False,7530,10972.8,11414.76,1656292090,1656292090
